Name;brand;mpn;GTIN12;GTIN13;PartpickerID
AMD Ryzen 3200G Processor;AMD;YD3200C5FHBOX;730143309851;0730143309851;J8drxr
Gigabyte B450M DS3H;Gigabyte;B450M DS3H;"	
889523014196";4719331803827;hpRzK8
